employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
1001,Brian,Zuniga,brian.zuniga@mccarthy.com,2025-11-30,Software Engineer,Sales,117959.68,,394 Perkins Brook Suite 814,South Monica,PA,65254,1973-09-30,Active
1002,Anthony,Mayo,anthony.mayo@rodriguez-rodgers.com,2017-11-29,sales representative,SALES,90764.62,2003,03247 Theresa Fork Apt. 332,Liutown,AK,20485,1964-10-10,On Leave
1003,Michelle,Gonzalez,michelle.gonzalez@smith-richardson.com,2021-11-02,project manager,sales,135360.97,2002,790 Little Estates Apt. 142,West Gregorytown,AL,98870,1989-06-17,Active
1004,Brad,Ingram,brad.ingram@fisher.net,2021-01-13,Sales Representative,Sales,"$70,156.32",2003,450 Mcdonald Islands Apt. 376,South Charlesbury,SD,83039,1981-07-05,Active
1005,David,Doyle,david.doyle@pierce.com,2016-09-14,Sales Representative,IT,120360.37,,77850 Smith Pike,Dawnview,WI,58724,1960-09-21,Inactive
1006,Michelle,Simpson,michelle.simpson@soto.com,2023-11-22,Sales Representative,Sales,148184.2,2003,09921 Murphy Hill,East Phyllismouth,CO,84837,1981-02-28,Inactive
1007,Philip,Reed,philip.reed@thomas.net,2019-07-27,HR Specialist,IT,40191.03,2001,6740 Jeremy Ports Apt. 949,Dustinburgh,MN,70199,1974-04-10,On Leave
1008,Rebecca,Kidd,rebecca.kidd@torres.org,2018-09-16,Software Engineer,Sales,123494.86,2002,212 Holmes Spring Suite 279,East Mark,GA,86750,1996-09-16,Inactive
1009,Joshua,Hernandez,joshua.hernandez@velazquez.com,2018-12-11,Software Engineer,Analytics,121827.94,,14411 Barron Terrace,Shortstad,NV,32243,1974-09-27,Inactive
1010,Dawn,Walker,dawn.walker@riggs.net,2026-04-25,SALES REPRESENTATIVE,HR,"$132,190.66",2003,217 Patricia Views Apt. 691,Lopezland,MN,30225,1998-01-04,Active
1011,Paul,Parks,,2024-10-19,sales representative,HR,116877.37,2002,6174 Brittney Keys,Browntown,CO,35827,1999-01-13,On Leave
1012,Jennifer,Gonzalez,JENNIFER.GONZALEZ@WALSH.COM,2025-08-03,Data Analyst,HR,45106.93,2003,7411 Edward Fall,New Tony,TX,61006,1992-07-06,Inactive
1013,Julie,Leblanc,julie.leblanc@gomez.biz,2018-04-28,Sales Representative,IT,137829.62,2002,08492 Gamble Point Suite 963,Griffinchester,IN,83033,1991-11-15,Active
1014,Pamela,Sanders,pamela.sanders@hill.com,2024-04-13,HR Specialist,Analytics,"$120,056.57",,385 Phillips Cape,South Charlotte,SC,74630,1982-06-02,On Leave
1015,Ashley,Davis,ASHLEY.DAVIS@LIU.INFO,2021-10-30,Sales Representative,Sales,77115.62,,369 Paul Centers Apt. 224,Hancockborough,ND,58518,1977-04-28,On Leave
1016,Zachary,Gomez,zachary.gomez@morrow-yang.info,2016-10-26,Sales Representative,IT,132980.75,2001,0697 Jeffrey Spurs Apt. 141,North Joshua,ID,74107,1975-05-15,Inactive
1017,Adrienne,Moon,adrienne.moon@williams.com,2017-12-04,Data Analyst,Marketing,112219.42,,619 Love Stravenue,North Evelyn,PR,61484,2002-08-11,Inactive
